chr	start	end	strand	dbl_count	cds
NC_000913.3	79511	79812	+	TRUE	70
NC_000913.3	3147166	3147467	+	TRUE	2952
NC_000913.3	1303474	1303775	+	TRUE	1223
NC_000913.3	2110007	2110308	+	TRUE	2023
NC_000913.3	4160654	4160955	+	FALSE	NA
NC_000913.3	2500612	2500913	+	TRUE	2366
NC_000913.3	26060	26361	+	TRUE	26
NC_000913.3	4392696	4392997	+	FALSE	NA
NC_000913.3	4282730	4283031	+	TRUE	3982
NC_000913.3	3374108	3374409	+	TRUE	3170
NC_000913.3	770170	770471	+	TRUE	719
NC_000913.3	747926	748227	+	TRUE	704
NC_000913.3	1542731	1543032	+	TRUE	1456
NC_000913.3	3436783	3437084	+	TRUE	3226
NC_000913.3	2564207	2564508	+	FALSE	NA
NC_000913.3	3906781	3907082	+	TRUE	3672
NC_000913.3	2479137	2479438	+	TRUE	2350
NC_000913.3	2507047	2507348	+	TRUE	2371
NC_000913.3	3320304	3320605	+	TRUE	3118
NC_000913.3	2281537	2281838	+	TRUE	2169
NC_000913.3	2981828	2982129	+	TRUE	2800
NC_000913.3	2482419	2482720	+	TRUE	2352
NC_000913.3	4229639	4229940	+	TRUE	3935
NC_000913.3	3352535	3352836	+	TRUE	3154
NC_000913.3	3944475	3944776	+	FALSE	NA
NC_000913.3	3955242	3955543	+	TRUE	3713
NC_000913.3	307	608	+	TRUE	1
NC_000913.3	42706	43007	+	TRUE	39
NC_000913.3	1498184	1498485	+	TRUE	1411
NC_000913.3	162540	162841	+	TRUE	143
NC_000913.3	559459	559760	+	TRUE	521
NC_000913.3	4196698	4196999	+	FALSE	NA
NC_000913.3	896008	896309	+	TRUE	837
NC_000913.3	78143	78444	+	TRUE	68
NC_000913.3	1519297	1519598	+	TRUE	1437
NC_000913.3	4171465	4171766	+	FALSE	NA
NC_000913.3	3840000	3840301	+	FALSE	NA
NC_000913.3	1646436	1646737	+	TRUE	1554
NC_000913.3	4220722	4221023	+	TRUE	3931
NC_000913.3	4122808	4123109	+	TRUE	3860
NC_000913.3	4486788	4487089	+	TRUE	4176
NC_000913.3	1088435	1088736	+	TRUE	1004
NC_000913.3	2139033	2139334	+	TRUE	2047
NC_000913.3	1669600	1669901	+	TRUE	1583
NC_000913.3	2057937	2058238	+	FALSE	NA
NC_000913.3	3041509	3041810	+	TRUE	2854
NC_000913.3	4040538	4040839	+	FALSE	NA
NC_000913.3	3760326	3760627	+	TRUE	3532
NC_000913.3	360822	361123	+	TRUE	337
NC_000913.3	371719	372020	+	TRUE	345
NC_000913.3	2300140	2300441	+	TRUE	2189
