read_id	chr	start	end	strand	dbl_count	cds	sofa
5988	NC_000913.3	79511	79812	+	TRUE	70	hit1
5989	NC_000913.3	3147166	3147467	+	TRUE	2952	TRUE
5982	NC_000913.3	1303474	1303775	+	TRUE	1223	TRUE
5983	NC_000913.3	2110007	2110308	+	TRUE	2023	TRUE
5980	NC_000913.3	4160654	4160955	+	FALSE	NA	TRUE
5981	NC_000913.3	2500612	2500913	+	TRUE	2366	hit1
5986	NC_000913.3	26060	26361	+	TRUE	26	TRUE
5987	NC_000913.3	4392696	4392997	+	FALSE	NA	FALSE
5984	NC_000913.3	4282730	4283031	+	TRUE	3982	FALSE
5985	NC_000913.3	3374108	3374409	+	TRUE	3170	TRUE
6796	NC_000913.3	770170	770471	+	TRUE	719	TRUE
6797	NC_000913.3	747926	748227	+	TRUE	704	hit1
6794	NC_000913.3	1542731	1543032	+	TRUE	1456	TRUE
6795	NC_000913.3	3436783	3437084	+	TRUE	3226	TRUE
6792	NC_000913.3	2564207	2564508	+	FALSE	NA	TRUE
6793	NC_000913.3	3906781	3907082	+	TRUE	3672	TRUE
6790	NC_000913.3	2479137	2479438	+	TRUE	2350	#N/A
6791	NC_000913.3	2507047	2507348	+	TRUE	2371	TRUE
6798	NC_000913.3	3320304	3320605	+	TRUE	3118	TRUE
6799	NC_000913.3	2281537	2281838	+	TRUE	2169	FALSE
6294	NC_000913.3	2981828	2982129	+	TRUE	2800	TRUE
270	NC_000913.3	2482419	2482720	+	TRUE	2352	TRUE
271	NC_000913.3	4229639	4229940	+	TRUE	3935	TRUE
272	NC_000913.3	3352535	3352836	+	TRUE	3154	TRUE
273	NC_000913.3	3944475	3944776	+	FALSE	NA	TRUE
274	NC_000913.3	3955242	3955543	+	TRUE	3713	#N/A
275	NC_000913.3	307	608	+	TRUE	1	TRUE
276	NC_000913.3	42706	43007	+	TRUE	39	TRUE
277	NC_000913.3	1498184	1498485	+	TRUE	1411	TRUE
278	NC_000913.3	162540	162841	+	TRUE	143	TRUE
279	NC_000913.3	559459	559760	+	FALSE	NA	FALSE
9528	NC_000913.3	4196698	4196999	+	FALSE	NA	TRUE
9529	NC_000913.3	896008	896309	+	TRUE	837	TRUE
9258	NC_000913.3	78143	78444	+	TRUE	68	TRUE
9259	NC_000913.3	1519297	1519598	+	TRUE	1437	TRUE
9256	NC_000913.3	4171465	4171766	+	FALSE	NA	TRUE
9257	NC_000913.3	3840000	3840301	+	FALSE	NA	TRUE
9254	NC_000913.3	1646436	1646737	+	TRUE	1554	TRUE
9255	NC_000913.3	4220722	4221023	+	TRUE	3931	TRUE
9252	NC_000913.3	4122808	4123109	+	TRUE	3860	FALSE
9253	NC_000913.3	4486788	4487089	+	TRUE	4176	TRUE
9250	NC_000913.3	1088435	1088736	+	TRUE	1004	FALSE
9251	NC_000913.3	2139033	2139334	+	TRUE	2047	hit1
2143	NC_000913.3	1669600	1669901	+	TRUE	1583	TRUE
2142	NC_000913.3	2057937	2058238	+	FALSE	NA	TRUE
3519	NC_000913.3	3041509	3041810	+	TRUE	2854	TRUE
3518	NC_000913.3	4040538	4040839	+	FALSE	NA	hit1
3513	NC_000913.3	3760326	3760627	+	TRUE	3532	TRUE
3512	NC_000913.3	360822	361123	+	TRUE	337	FALSE
3511	NC_000913.3	371719	372020	+	TRUE	345	TRUE
3510	NC_000913.3	2300140	2300441	+	TRUE	2189	TRUE
3517	NC_000913.3	2792968	2793269	+	TRUE	2630	TRUE
3516	NC_000913.3	549789	550090	+	TRUE	510	TRUE
3515	NC_000913.3	2453061	2453362	+	TRUE	2321	hit1
3514	NC_000913.3	2392153	2392454	+	TRUE	2261	TRUE
2688	NC_000913.3	1457017	1457318	+	TRUE	1379	TRUE
2689	NC_000913.3	2050978	2051279	+	TRUE	1960	TRUE
2684	NC_000913.3	1068653	1068954	+	TRUE	988	TRUE
2685	NC_000913.3	3365127	3365428	+	TRUE	3161	TRUE
2686	NC_000913.3	2610862	2611163	+	TRUE	2470	TRUE
2687	NC_000913.3	1764112	1764413	+	TRUE	1672	TRUE
2680	NC_000913.3	3090926	3091227	+	FALSE	NA	TRUE
2681	NC_000913.3	2883915	2884216	+	TRUE	2722	TRUE
2682	NC_000913.3	2215493	2215794	+	FALSE	NA	hit1
2683	NC_000913.3	4018132	4018433	+	TRUE	3767	hit2
99	NC_000913.3	3710739	3711040	+	TRUE	3483	TRUE
98	NC_000913.3	3354338	3354639	+	FALSE	NA	TRUE
91	NC_000913.3	1358060	1358361	+	TRUE	1280	TRUE
90	NC_000913.3	4498749	4499050	+	TRUE	4187	TRUE
93	NC_000913.3	3149562	3149863	+	TRUE	2955	TRUE
92	NC_000913.3	1476667	1476968	+	TRUE	1394	TRUE
95	NC_000913.3	1780106	1780407	+	TRUE	1685	FALSE
94	NC_000913.3	2493374	2493675	+	FALSE	NA	TRUE
97	NC_000913.3	3990631	3990932	+	FALSE	NA	hit1
96	NC_000913.3	2919948	2920249	+	TRUE	2750	TRUE
1177	NC_000913.3	1420446	1420747	+	TRUE	1344	TRUE
1176	NC_000913.3	1300023	1300324	+	FALSE	NA	TRUE
1175	NC_000913.3	3795599	3795900	+	TRUE	3566	TRUE
1174	NC_000913.3	2957361	2957662	+	TRUE	2780	TRUE
