chr	start	end	strand	itr_id	gene	product	protein_id
NC_000913.3	190	255	+	0	thrA	thr operon leader peptide	ref|NP_414542.1|
NC_000913.3	337	2799	+	1	thrB	Bifunctional aspartokinase/homoserine dehydrogenase 1	ref|NP_414543.1|
NC_000913.3	2801	3733	+	2	thrC	homoserine kinase	ref|NP_414544.1|
NC_000913.3	3734	5020	+	3	yaaX	L-threonine synthase	ref|NP_414545.1|
NC_000913.3	5234	5530	+	4	yaaA	DUF2502 family putative periplasmic protein	ref|NP_414546.1|
NC_000913.3	5683	6459	-	5	yaaJ	peroxide resistance protein, lowers intracellular iron	ref|NP_414547.1|
NC_000913.3	6529	7959	-	6	talB	putative transporter	ref|NP_414548.1|
NC_000913.3	8238	9191	+	7	mog	transaldolase B	ref|NP_414549.1|
NC_000913.3	9306	9893	+	8	satP	molybdochelatase incorporating molybdenum into molybdopterin	ref|NP_414550.1|
NC_000913.3	9928	10494	-	9	yaaW	succinate-acetate transporter	ref|NP_414551.1|
NC_000913.3	10643	11356	-	10	yaaI	UPF0174 family protein	ref|NP_414552.1|
NC_000913.3	11382	11786	-	11	dnaK	UPF0412 family protein	ref|NP_414554.1|
NC_000913.3	12163	14079	+	12	dnaJ	chaperone Hsp70, with co-chaperone DnaJ	ref|NP_414555.1|
NC_000913.3	14168	15298	+	13	insL1	chaperone Hsp40, DnaK co-chaperone	ref|NP_414556.1|
NC_000913.3	15445	16557	+	14	mokC	IS186 transposase	ref|NP_414557.1|
NC_000913.3	16751	16960	-	15	hokC	regulatory protein for HokC, overlaps CDS of hokC	ref|NP_414559.1|
NC_000913.3	16751	16903	-	16	nhaA	sRNA antisense regulator blocking mokC, and hence hokC, translation	ref|YP_025292.1|
NC_000913.3	17489	18655	+	17	nhaR	sodium-proton antiporter	ref|NP_414560.1|
NC_000913.3	18715	19620	+	18	insB1	transcriptional activator of nhaA	ref|NP_414561.1|
NC_000913.3	19811	20314	-	19	insA	IS1 transposase B	ref|NP_414562.1|
NC_000913.3	20233	20508	-	20	rpsT	IS1 repressor TnpA	ref|NP_414563.1|
NC_000913.3	20815	21078	-	21	yaaY	30S ribosomal subunit protein S20	ref|NP_414564.1|
NC_000913.3	21181	21399	+	22	ribF	uncharacterized protein	ref|NP_414565.1|
NC_000913.3	21407	22348	+	23	ileS	bifunctional riboflavin kinase/FAD synthetase	ref|NP_414566.1|
NC_000913.3	22391	25207	+	24	lspA	isoleucyl-tRNA synthetase	ref|NP_414567.1|
NC_000913.3	25207	25701	+	25	fkpB	prolipoprotein signal peptidase (signal peptidase II)	ref|NP_414568.1|
NC_000913.3	25826	26275	+	26	ispH	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	ref|NP_414569.1|
NC_000913.3	26277	27227	+	27	rihC	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	ref|NP_414570.1|
NC_000913.3	27293	28207	+	28	dapB	ribonucleoside hydrolase 3	ref|NP_414571.1|
NC_000913.3	28374	29195	+	29	carA	dihydrodipicolinate reductase	ref|NP_414572.1|
NC_000913.3	29651	30799	+	30	carB	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	ref|NP_414573.1|
NC_000913.3	30817	34038	+	31	caiF	carbamoyl-phosphate synthase large subunit	ref|NP_414574.1|
NC_000913.3	34300	34695	+	32	caiE	cai operon transcriptional activator	ref|NP_414576.4|
NC_000913.3	34781	35371	-	33	caiD	stimulator of CaiD and CaiB enzyme activities	ref|NP_414577.2|
NC_000913.3	35377	36162	-	34	caiC	carnitinyl-CoA dehydratase	ref|NP_414578.2|
NC_000913.3	36271	37824	-	35	caiB	putative crotonobetaine/carnitine-CoA ligase	ref|NP_414579.4|
NC_000913.3	37898	39115	-	36	caiA	crotonobetainyl CoA:carnitine CoA transferase	ref|NP_414580.1|
NC_000913.3	39244	40386	-	37	caiT	crotonobetaine reductase subunit II, FAD-binding	ref|NP_414581.1|
NC_000913.3	40417	41931	-	38	fixA	putative transporter	ref|NP_414582.1|
NC_000913.3	42403	43173	+	39	fixB	anaerobic carnitine reduction putative electron transfer flavoprotein subunit	ref|NP_414583.2|
NC_000913.3	43188	44129	+	40	fixC	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	ref|NP_414584.1|
NC_000913.3	44180	45466	+	41	fixX	putative oxidoreductase	ref|NP_414585.1|
NC_000913.3	45463	45750	+	42	yaaU	putative 4Fe-4S ferredoxin-type protein	ref|NP_414586.1|
NC_000913.3	45807	47138	+	43	kefF	putative MFS sugar transporter; membrane protein	ref|NP_414587.1|
NC_000913.3	47246	47776	+	44	kefC	potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent	ref|NP_414588.1|
NC_000913.3	47769	49631	+	45	folA	potassium:proton antiporter	ref|NP_414589.1|
NC_000913.3	49823	50302	+	46	apaH	dihydrofolate reductase	ref|NP_414590.1|
NC_000913.3	50380	51222	-	47	apaG	diadenosine tetraphosphatase	ref|NP_414591.1|
NC_000913.3	51229	51606	-	48	rsmA	protein associated with Co2+ and Mg2+ efflux	ref|NP_414592.1|
NC_000913.3	51609	52430	-	49	pdxA	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent	ref|NP_414593.1|
NC_000913.3	52427	53416	-	50	surA	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	ref|NP_414594.1|
NC_000913.3	53416	54702	-	51	lptD	peptidyl-prolyl cis-trans isomerase (PPIase)	ref|NP_414595.1|
NC_000913.3	54755	57109	-	52	djlA	LPS assembly OM complex LptDE, beta-barrel component	ref|NP_414596.1|
NC_000913.3	57364	58179	+	53	yabP	membrane-anchored DnaK co-chaperone, DNA-binding protein	ref|NP_414597.1|
NC_000913.3	58474	59052	+	54	rluA	NA	NA
NC_000913.3	59687	60346	-	55	rapA	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent	ref|NP_414600.1|
NC_000913.3	60358	63264	-	56	polB	RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase	ref|NP_414601.1|
NC_000913.3	63429	65780	-	57	araD	DNA polymerase II	ref|NP_414602.1|
NC_000913.3	65855	66550	-	58	araA	L-ribulose-5-phosphate 4-epimerase	ref|NP_414603.1|
NC_000913.3	66835	68337	-	59	araB	L-arabinose isomerase	ref|NP_414604.1|
NC_000913.3	68348	70048	-	60	araC	L-ribulokinase	ref|NP_414605.1|
NC_000913.3	70387	71265	+	61	yabI	ara regulon transcriptional activator; autorepressor	ref|NP_414606.1|
NC_000913.3	71351	72115	+	62	thiQ	DedA family inner membrane protein	ref|NP_414607.1|
NC_000913.3	72229	72927	-	63	thiP	thiamine/thiamine pyrophosphate ABC transporter ATPase	ref|NP_414608.1|
NC_000913.3	72911	74521	-	64	thiB	thiamine/thiamine pyrophosphate ABC transporter permease	ref|NP_414609.1|
NC_000913.3	74497	75480	-	65	sgrR	thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein	ref|NP_414610.1|
NC_000913.3	75644	77299	-	66	sgrT	sRNA antisense regulator destabilzes ptsG mRNA, Hfq-dependent; regulated by sgrR	ref|NP_414611.1|
NC_000913.3	77388	77519	+	67	setA	inhibitor of glucose uptake	ref|YP_002791237.1|
NC_000913.3	77621	78799	+	68	leuD	broad specificity sugar efflux system	ref|YP_025293.1|
NC_000913.3	78848	79453	-	69	leuC	3-isopropylmalate dehydratase small subunit	ref|NP_414613.1|
NC_000913.3	79464	80864	-	70	leuB	3-isopropylmalate dehydratase large subunit	ref|NP_414614.1|
NC_000913.3	80867	81958	-	71	leuA	3-isopropylmalate dehydrogenase, NAD(+)-dependent	ref|NP_414615.4|
NC_000913.3	81958	83529	-	72	leuL	2-isopropylmalate synthase	ref|NP_414616.1|
NC_000913.3	83622	83708	-	73	leuO	leu operon leader peptide	ref|NP_414617.1|
NC_000913.3	84368	85312	+	74	ilvI	global transcription factor	ref|NP_414618.4|
NC_000913.3	85630	87354	+	75	ilvH	acetolactate synthase 3 large subunit	ref|YP_025294.2|
NC_000913.3	87357	87848	+	76	cra	acetolactate synthase 3, small subunit, valine-sensitive	ref|NP_414620.1|
NC_000913.3	88028	89032	+	77	mraZ	transcriptional repressor-activator for carbon metabolism	ref|NP_414622.1|
NC_000913.3	89634	90092	+	78	rsmH	RsmH methytransferase inhibitor	ref|NP_414623.1|
NC_000913.3	90094	91035	+	79	ftsL	16S rRNA m(4)C1402 methyltransferase, SAM-dependent	ref|NP_414624.1|
NC_000913.3	91032	91397	+	80	ftsI	membrane bound cell division leucine zipper septum protein	ref|NP_414625.1|
NC_000913.3	91413	93179	+	81	murE	transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3	ref|NP_414626.1|
NC_000913.3	93166	94653	+	82	murF	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	ref|NP_414627.1|
NC_000913.3	94650	96008	+	83	mraY	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	ref|NP_414628.1|
NC_000913.3	96002	97084	+	84	murD	phospho-N-acetylmuramoyl-pentapeptide transferase	ref|NP_414629.1|
NC_000913.3	97087	98403	+	85	ftsW	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	ref|NP_414630.1|
NC_000913.3	98403	99647	+	86	murG	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	ref|NP_414631.1|
NC_000913.3	99644	100711	+	87	murC	N-acetylglucosaminyl transferase	ref|NP_414632.1|
NC_000913.3	100765	102240	+	88	ddlB	UDP-N-acetylmuramate:L-alanine ligase	ref|NP_414633.1|
NC_000913.3	102233	103153	+	89	ftsQ	D-alanine:D-alanine ligase	ref|NP_414634.1|
NC_000913.3	103155	103985	+	90	ftsA	divisome assembly protein, membrane anchored protein involved in growth of wall at septum	ref|NP_414635.1|
NC_000913.3	103982	105244	+	91	ftsZ	ATP-binding cell division FtsK recruitment protein	ref|NP_414636.1|
NC_000913.3	105305	106456	+	92	lpxC	GTP-binding tubulin-like cell division protein	ref|NP_414637.1|
NC_000913.3	106557	107474	+	93	secM	UDP-3-O-acyl N-acetylglucosamine deacetylase	ref|NP_414638.1|
NC_000913.3	107705	108217	+	94	secA	regulator of secA translation	ref|NP_414639.2|
NC_000913.3	108279	110984	+	95	mutT	preprotein translocase subunit, ATPase	ref|NP_414640.1|
NC_000913.3	111044	111433	+	96	yacG	dGTP-preferring nucleoside triphosphate pyrophosphohydrolase	ref|NP_414641.1|
NC_000913.3	111649	111846	-	97	zapD	DNA gyrase inhibitor	ref|NP_414643.1|
NC_000913.3	111856	112599	-	98	coaE	FtsZ stabilizer	ref|NP_414644.1|
NC_000913.3	112599	113219	-	99	guaC	dephospho-CoA kinase	ref|NP_414645.1|
NC_000913.3	113444	114487	+	100	hofC	GMP reductase	ref|NP_414646.1|
NC_000913.3	114522	115724	-	101	hofB	assembly protein in type IV pilin biogenesis, transmembrane protein	ref|NP_414648.1|
NC_000913.3	115714	117099	-	102	ppdD	T2SE secretion family protein; P-loop ATPase superfamily protein	ref|NP_414649.1|
NC_000913.3	117109	117549	-	103	nadC	putative prepilin peptidase-dependent pilin	ref|NP_414650.1|
NC_000913.3	117752	118645	-	104	ampD	quinolinate phosphoribosyltransferase	ref|NP_414651.1|
NC_000913.3	118733	119284	+	105	ampE	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	ref|NP_414652.1|
NC_000913.3	119281	120135	+	106	aroP	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	ref|NP_414653.1|
NC_000913.3	120178	121551	-	107	pdhR	aromatic amino acid transporter	ref|NP_414654.1|
NC_000913.3	122092	122856	+	108	aceE	pyruvate dehydrogenase complex repressor; autorepressor	ref|NP_414655.1|
NC_000913.3	123017	125680	+	109	aceF	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	ref|NP_414656.1|
NC_000913.3	125695	127587	+	110	lpd	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	ref|NP_414657.1|
NC_000913.3	127912	129336	+	111	yacH	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	ref|NP_414658.1|
NC_000913.3	129407	131260	-	112	acnB	DUF3300 family protein	ref|NP_414659.1|
NC_000913.3	131615	134212	+	113	yacL	aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase	ref|NP_414660.1|
NC_000913.3	134388	134750	+	114	speD	UPF0231 family protein	ref|NP_414661.2|
NC_000913.3	134788	135582	-	115	speE	S-adenosylmethionine decarboxylase	ref|NP_414662.1|
NC_000913.3	135598	136464	-	116	yacC	spermidine synthase (putrescine aminopropyltransferase)	ref|NP_414663.1|
NC_000913.3	136570	136917	-	117	cueO	PulS_OutS family protein	ref|NP_414664.4|
NC_000913.3	137083	138633	+	118	gcd	multicopper oxidase (laccase)	ref|NP_414665.1|
NC_000913.3	138835	141225	-	119	hpt	glucose dehydrogenase	ref|NP_414666.1|
NC_000913.3	141431	141967	+	120	can	hypoxanthine phosphoribosyltransferase	ref|NP_414667.4|
